EVENT_DATE_KEY,TSN,SEARCH_TEXT,UI_VALUE_DESC_01,UI_VALUE_DESC_02,UI_VALUE_DESC_03,UI_VALUE_DESC_04,SEARCH_CONTEXT,MATCH,,
20150815,5B6353E7CFDBC5FDF0EA4AADF9412881,gro,grown,ups,2,NA,FALSE,1,1,
20150815,7460001904CEF4C,brav,brave,NA,NA,NA,FALSE,1,1,
20150815,7460001904CEF4C,brav,brave,NA,NA,NA,FALSE,1,1,
20150815,512324E53DFBAC02,loft,the,loft,NA,NA,FALSE,2,1,
20150815,512324E53DFBAC02,loft,the,loft,NA,NA,FALSE,2,1,
20150815,7500001905AD556,pe,penn,&,teller:,fool,FALSE,1,1,
20150815,8484001904D657A,bra,brave,NA,NA,NA,FALSE,1,1,
20150815,8484001904D657A,bra,brave,NA,NA,NA,FALSE,1,1,
20150815,70688A6A2A04E77F2159FC32C11EB117,hero,heroes,NA,NA,NA,FALSE,1,1,
20150815,70688A6A2A04E77F2159FC32C11EB117,hero,heroes,reborn,NA,NA,FALSE,1,1,
20150815,70688A6A2A04E77F2159FC32C11EB117,hero,heroes,reborn,NA,NA,FALSE,1,1,
20150815,848000190318E8E,fur,fury,NA,NA,NA,FALSE,1,1,
20150815,848000190318E8E,fur,fury,NA,NA,NA,FALSE,1,1,
20150815,848000190318E8E,foc,focus,NA,NA,NA,FALSE,1,1,
20150815,848000190318E8E,foc,focus,NA,NA,NA,FALSE,1,1,
20150815,746000190973AA7,the e,the,exes,NA,NA,FALSE,#N/A,#N/A,
20150815,746000190973AA7,the e,the,exes,NA,NA,FALSE,#N/A,#N/A,
20150815,251011277F8F501A37761BAB141F300F,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,251011277F8F501A37761BAB141F300F,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,12E1B177E66FB7FEE77FAD792B6C9186,dant,dante's,peak,NA,NA,FALSE,1,1,
20150815,A92000190594196,belo,below,deck,NA,NA,FALSE,1,1,
20150815,A92000190594196,belo,below,deck,NA,NA,FALSE,1,1,
20150815,A92000190594196,belo,below,deck,NA,NA,FALSE,1,1,
20150815,A92000190594196,belo,below,deck,NA,NA,FALSE,1,1,
20150815,A92000190594196,belo,below,deck,NA,NA,FALSE,1,1,
20150815,8480001902A6AC8,po,power,NA,NA,NA,FALSE,1,1,
20150815,8480001902A6AC8,po,power,NA,NA,NA,FALSE,1,1,
20150815,8480001902A6AC8,po,power,NA,NA,NA,FALSE,1,1,
20150815,8480001902A6AC8,po,power,NA,NA,NA,FALSE,1,1,
20150815,19D64848DCEC4F40AA94B3B5FB901486,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,69A7B0FC428975176E92CEAD39F4DDE0,tank,tanked,NA,NA,NA,FALSE,1,1,
20150815,69A7B0FC428975176E92CEAD39F4DDE0,tank,tanked,NA,NA,NA,FALSE,1,1,
20150815,69A7B0FC428975176E92CEAD39F4DDE0,tank,tanked,NA,NA,NA,FALSE,1,1,
20150815,C427F498CE0FCCC04BFE1C44434C64C9,cl,the,closer,NA,NA,FALSE,2,1,
20150815,C427F498CE0FCCC04BFE1C44434C64C9,cl,the,closer,NA,NA,FALSE,2,1,
20150815,C427F498CE0FCCC04BFE1C44434C64C9,cl,the,closer,NA,NA,FALSE,2,1,
20150815,2DA72A568D2C3841455A6F92383E272E,nf,nfl,preseason,football,NA,FALSE,1,1,
20150815,43C141C47AF89E3EFA2E1D278E223467,pow,power,rangers,megaforce,NA,FALSE,1,1,
20150815,43C141C47AF89E3EFA2E1D278E223467,pow,power,rangers,super,megaforce,FALSE,1,1,
20150815,43C141C47AF89E3EFA2E1D278E223467,pow,power,rangers,super,megaforce,FALSE,1,1,
20150815,43C141C47AF89E3EFA2E1D278E223467,pow,power,rangers,super,megaforce,FALSE,1,1,
20150815,EA21583766B96564A6E96A25920BD97A,pga,pga,tour,golf,NA,FALSE,1,1,
20150815,EA21583766B96564A6E96A25920BD97A,pga,pga,tour,golf,NA,FALSE,1,1,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,grant,cary,grant,NA,NA,FALSE,2,1,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
